text,label,lemmatized_text
i feel like a miserable piece of garbage,0,I feel like a miserable piece of garbage
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,3,I feel like I need to make a list leanne would be appal at the thought so that I do not miss anything
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3,I drive dannika to school I be feel a little bit rush and this be what greet I as I turn the corner
i remember feeling so hellip furious with the shooter,3,I remember feel so hellip furious with the shooter
i feel very happy and excited since i learned so many things,1,I feel very happy and excited since I learn so many thing
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,1,I feel that at show and around show horse people be trust and relaxed because most show horse be safe and quiet and be handle frequently
i only have a couple of things left to make and at the start of december i am done and feeling smug,1,I only have a couple of thing leave to make and at the start of december I be do and feel smug
i think about how u could make me feel and realize that everything will be ok,1,I think about how u could make I feel and realize that everything will be ok
i feel so worthless during those times i was struggling finding work,0,I feel so worthless during those time I be struggle find work
i will be able to lay on my bed in the dark and not feel terrified at least for a while,4,I will be able to lay on my bed in the dark and not feel terrified at least for a while
i was ready to meet mom in the airport and feel her ever supportive arms around me,2,I be ready to meet mom in the airport and feel she ever supportive arm around I
im feeling bitter today my mood has been strange the entire day so i guess its that,3,I m feel bitter today my mood have be strange the entire day so I guess its that
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0,when my mum brother pass away after having be involve in a car accident he be bring I a present as I have pass my form five exam with fly colour
i am letting go of the animosity that is towards anyone that i feel has wronged me,3,I be let go of the animosity that be towards anyone that I feel have wrong I
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,2,I talk to dog as I feel they can not understand word but they can read emotion and know how to be supportive I decide I should go home
i feel like throwing away the shitty piece of shit paper,0,I feel like throw away the shitty piece of shit paper
im starting to feel wryly amused at the banal comedy of errors my life is turning into,1,I m start to feel wryly amuse at the banal comedy of error my life be turn into
i find every body beautiful and only want people to feel vital in their bodies,1,I find every body beautiful and only want people to feel vital in their body
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0,I hear be owner who feel victimize by their association the association attorney or the property manager
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3,I say goodbye to the fam they re all sad a crying and I feel like a heartless bitch because hey I m pretty excited to be fly for the first time and you know also to spend a year in another country
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,2,I will not let I child cry it out because I feel that love she and lily when she be little be go to be opportunity that only last for those short few month
i alba i feel good and im fitting in,1,I alba I feel good and I m fitting in
i feel excited about what im doing again i feel like i have a ton of catching up to do,1,I feel excited about what I m do again I feel like I have a ton of catch up to do
i also know how good it feels to look back and see that i honored my word and that helps from the start,1,I also know how good it feel to look back and see that I honor my word and that help from the start
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0,I mean really really hard work to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivate when I see kid do wushu performance whole heartedly despite their tiredness
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,1,I feel like thing be get a little overwhelming a few spritz of this toner really help calm and soothe I
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,1,I hope that you realize how such little effort be require to make a person feel well about themselves or their situation whether its I a family member a college or high school friend a neighbor down the street or even a complete stranger
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,1,I be feel so festive today that I m even go to put the tree up as soon as I ve finish do this and catch up with the week s going ons on coronation street
finding out that i am not ill not seriously,1,find out that I be not ill not seriously
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0,I do alright in class but a combination of feel unsuccessful be man handle the stress of late and my horrible week result in my almost cry after I finish grapple
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,1,I feel it rarely advance any worthwhile cause and I always stick to the rule of not post anything online that I would not be prepare to say to somebodys face
i am feeling all useful,1,I be feel all useful
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,2,I feel like some of you have pain and you can not imagine become passionate about the group or the idea that be cause pain
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0,I feel ugly I m more inclined to wear ratty jean and a sweatshirt than a beautiful dress though I might still wear a pair of heel around my house to boost my self esteem ever so slightly but I definitely win t bother to buy a new pair
im not feeling homesick yet so im feeling alright about this,0,I m not feel homesick yet so I m feel alright about this
i dance i should feel pretty,1,I dance I should feel pretty
i workout every morning before and feel fabulous for it,1,I workout every morning before and feel fabulous for it
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0,I feel all of this just from her eye not from her touch or from her word but from her eye I know that I can assuredly return this love and know that it shall not be in vain
i was feeling fabulous until friday morning when i started to get these awful cramps at work,1,I be feel fabulous until friday morning when I start to get these awful cramp at work
i feel honoured to have been able to call them friends to share their brotherhood,1,I feel honoured to have be able to call they friend to share their brotherhood
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4,I have begin to feel apprehensive when thick black rain cloud storm into the sky above town
i had stated to her the reason i feel so fearful is because i feel unsafe,4,I have state to she the reason I feel so fearful be because I feel unsafe
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,4,I didn t feel like getting shake down by the tsa quite yet so I pull off to the side at creative croissant for a lunch
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,0,I get into group I feel really awkward and overcompensate by be too talkative or by get really quiet
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,2,I be very excited to finally meet that companion that companion who will be with I at all time especially when I be lonely very lonely that companion who will never disappoint I that companion who will put his arm around I and make I feel loved
i feel they are pretty safe on my blog img src http s,1,I feel they be pretty safe on my blog img src http s
i feel pretty eager to get it done as i have a fun plan for quilting it,1,I feel pretty eager to get it do as I have a fun plan for quilt it
i am feeling horny so i ask her that lets go home,2,I be feel horny so I ask she that let go home
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,4,I think if a poem doesn t put pressure on I I don t feel uncomfortable in the sense of feel more than I can feel understand more than I can understand love more than I be able to be in love
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,5,I too feel as if I be a stranger in a strange land and I be raise my son in a place that be not his father s ancestral home
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,1,I leave to the shower question what I feel she be gorgeous such a fantastic body so confident in her movement effortlessly graceful
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,1,I feel energetic and bouncy I m more than happy to go to the gym run around outside with my kid or take the pram for a long walk often I do all three in one day
i was still feeling strong,1,I be still feel strong
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,1,I didn t burst into tear or some other devastating release of feeling or thought because I seem to know that rich also have to go through his own space without I just dump on he
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,3,I want to get a pumpkin spice latte this morning but it be hot and the last thing I want be a hot coffee maybe I be feel a little bitter
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,4,I suppose he feel badly because he be a bit skeptical of her pain over the last few month she s have a hyperchondria and exaggeration habit in the past though he never openly question she about it
i clench to the corners of the bed to feel assured,1,I clench to the corner of the bed to feel assured
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,3,I also feel like I be be selfish in not be grateful for the life I do have and the amazing thing in it
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,2,I call it god because I d see god in a book and figure god be the right name for feel so utterly affirm and accept without question
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,3,I don t know why perhaps because other girl in the office have nice short hair or perhaps I be just feel rebellious
i do not feel miserable at all because my family is not the type that celebrates eid,0,I do not feel miserable at all because my family be not the type that celebrate eid
i might go get a car wash if i am feeling really generous my car needs it,1,I might go get a car wash if I be feel really generous my car need it
i still feel sleep deprived she is almost sleeping through the night giving us,0,I still feel sleep deprive she be almost sleep through the night give we
i just feel really violent right now,3,I just feel really violent right now
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,1,I be blog again I be sit here feel content with my dog amp cat etc and I know that how lucky we be the truth be we
i started feeling funny and then friday i woke up sick as a dog,5,I start feel funny and then friday I wake up sick as a dog
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,0,I feel a need to protect my parent against the witch hunt that repress memory therapy can be
i feel disgusted to even be associated with this woman by my race and nationality,3,I feel disgusted to even be associate with this woman by my race and nationality
i laughed then bitterly again but i wasnt feeling bitter,3,I laugh then bitterly again but I be not feel bitter
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,0,I couldn t know what he be feel then I think that he wish he could have be there with we too for each of we know that however much we hate it at first it be an experience we would remember forever
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,1,I be feel quite mellow and I want a soft easy look to wear with my beginning of a cold
i told him that maybe i just need time to think how ive been feeling indecisive about things lately,4,I tell he that maybe I just need time to think how I ve be feel indecisive about thing lately
i still feel it does the genre a disservice when stories are resolved artifically,1,I still feel it do the genre a disservice when story be resolve artifically
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,1,I always know when I be feel artistic when I write my name while I be in an artistic mood the I in manitz I draw a circle not a dot the big the dot the more artistic I be feel and if it be just a line like an accent mark in spanish I m piss
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,4,I remember feel really terrify when I be in brazil on a bus that be go up steep mountain hill on the side of the mountain in the middle of a big storm wonder if we be go to fall off
i could feel her whimper to the thought of being unloved and uncared for,0,I could feel her whimper to the thought of be unloved and uncare for
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,5,I m certainly not go to sit and tell you what s go on in my personal life but I feel that if you be ever curious about what s go in my life all you d have to do be watch the show
im sorry that there wasnt more humor in this post but im not feeling all that funny,5,I m sorry that there be not more humor in this post but I m not feel all that funny
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,1,I feel I ve get my foot in the door of the fantastic world of walk and run the trail fell and mountain
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,3,I say whatever come in my mind tell you directly what I feel a jealous girl not because I m insecure but because I just love that person a trust worthy friend sweet to the one I love
i feel strange coming back to work after my one day holiday,4,I feel strange come back to work after my one day holiday
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,3,I m clearly influence by the dash happiness of emily dickinson for example and I use dash instead of colon or semi colon to enhance the feeling of rush enjambment in the sonnet
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,0,I be fat because the only thing in my life that can remain under my control be whether or not I get to eat peanut butter on bread when I get home from an impossible day of to first world look yet third world feel hell of needy and neglect little girl
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,3,I could claim to redeem the genre but it didn t leave I feel as entirely frustrated to the point of beat my head against a wall either
i feel so sad and hopeless,0,I feel so sad and hopeless
im getting the feeling that my classes are a little intimidated by the concept of a lit,4,I m get the feeling that my class be a little intimidate by the concept of a lit
i still feel groggy but i have to get up to do the routine for my son,0,I still feel groggy but I have to get up to do the routine for my son
i have a feeling my view isnt going to be very popular and thats fine,1,I have a feeling my view be not go to be very popular and that s fine
i want to hold this feeling of shocked awe and wonder forever,5,I want to hold this feeling of shocked awe and wonder forever
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,4,when I hear a rumour that the st year exam result be out I have fear that I might be one of the failure
i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,1,I want to feel value I do and appreciate I do and know the people who love I be not go anywhere even if the nature of the relationship change
i know there are days in which you feel distracted,3,I know there be day in which you feel distracted
i use it regularly with relaxing music and always feel invigorated afterward,1,I use it regularly with relax music and always feel invigorated afterward
im feeling distracted i tend to practice with my eyes shut as much as possible,3,I m feel distracted I tend to practice with my eye shut as much as possible
i feel like its perfect a w see youtube has its influences i even know trends,1,I feel like its perfect a w see youtube have its influence I even know trend
i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,4,I specifically want tango be feel shy and mak quite the opposite hard to get far enough away from he to get good pic lol
i also didn t feel very weird sleeping in my bed while the two of them slept in hers,4,I also didn t feel very weird sleep in my bed while the two of they sleep in her
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,0,I just wish okay so I be think about it early today and here the thing be all coope up amp restless have make I feel so needy
ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,1,I ve lose some weight such that I could fit into a tiny skirt that I ve be unable to wear because I do not feel confident in it until now
i hope to feel a bit more creative again soon and miss its presence in my life blog,1,I hope to feel a bit more creative again soon and miss its presence in my life blog
i am no fan of the current president i am a conservative and it made me feel unwelcome,0,I be no fan of the current president I be a conservative and it make I feel unwelcome
i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,5,I will enclose her verse on she could not weigh much more thinking and feel curious to hear the odd couple
i begin to feel complacent with my life here,1,I begin to feel complacent with my life here
i feel vulnerable and alone,4,I feel vulnerable and alone
i remember feeling inspired and thinking that it was a fine example of parenting,1,I remember feel inspired and think that it be a fine example of parent
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,0,I feel like I m always the one getting punish for stupid thing and I feel like I m be chastise for behave
i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,1,I really feel that my life be perfect right now and if it be not too much to ask for I just hope that everything would stay the same
im there i simply feel contented,1,I m there I simply feel contented
im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,1,I m not say cut everyone out of your life but I feel its important to find comfort in solitude meditation or work on project alone
i think im just being stupid feeling nervous,4,I think I m just be stupid feeling nervous
i feel honored by it,1,I feel honor by it
i was feeling an act of god at work in my life and it was an amazing feeling,5,I be feel an act of god at work in my life and it be an amazing feeling
i feel im like a bird flying in the air in a very carefree manner,1,I feel I m like a bird fly in the air in a very carefree manner
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,3,I have to revise my reply over and over again in my mind just to make sure that the reply sound appropriate enough and that the person who receive the reply will not feel offended
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,0,I feel sad when a friend of mine die and I feel that something have irrevocably go away from I
i died would alex and matt feel regretful for not coming to visit,0,I die would alex and matt feel regretful for not come to visit
i feel that educating families and supporting and educationg mamas and papas is key,1,I feel that educate family and support and educationg mama and papa be key
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,3,I m sure its because when I be lose I feel like everyone be be hostile toward I and I hate that feel
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,0,I feel like these be very boring sewing make since they be so easy and there be nothing else to say about they than my fabric usage
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,1,I have always like to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly
i feel like i talented young man i don t feel talented then i don t to work with,1,I feel like I talente young man I don t feel talented then I don t to work with
i feel curious about all this things around,5,I feel curious about all this thing around
i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,1,I feel the reason be apart of each other live be because I m in his to help he become something to push he to succeed and be successful and happy
i feel now so uncomfortable with all of them i guess is me,4,I feel now so uncomfortable with all of they I guess be I
i feel pretty mellow so far about whatever healing wounding process may be getting underway,1,I feel pretty mellow so far about whatever healing wounding process may be get underway
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,4,I wonder sometimes whether I have just add to the antagonism and misunderstand that many people have towards those of we who feel reluctant to wholeheartedly support the traditional armistice day remembrance
i legs would feel shitty for a few miles but would come around like they always do,0,I leg would feel shitty for a few mile but would come around like they always do
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,4,I know its an unfair reaction but I have run out of way to explain how I feel shake be the good I can come up with right now
i seriously feel so blessed for the support that i have at home it s amazing,2,I seriously feel so blessed for the support that I have at home it s amazing
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,0,I feel abuse and malign but mostly tired of the nervous feeling anticipate danger
i am feeling pretty restless right now while typing this,4,I be feel pretty restless right now while type this
